source,target,type,,,,,,,time
Marie Boucher,"St Nicolas, Nantes",Commerce,Euzebe de Loynes,Orléans,,Verger,4/E2/1944,Cambie,27/10/1967
Marie Boucher,"St Nicolas, Nantes",Commerce,Euzebe de Loynes,Orléans,,Verger,4/E2/1944,Cambie,27/10/1967
Marie Boucher,"St Nicolas, Nantes",Commerce,Jean Masson Lesné,Orléans,,Verger,4/E2/1945,Cambie,13/01/1968
Marie Boucher,"St Nicolas, Nantes",Commerce,François Lemasson,Orléans,,Verger,4/E2/1946,Cambie,11/07/1968
Marie Boucher et Hubert Antheaume Cie,"St Nicolas, Nantes",Commerce,Robert Miron,Orléans,,Verger,4/E2/1953,Cambie,12/01/1972
Marie Boucher et Hubert Antheaume Cie,"St Nicolas, Nantes",Commerce,Jean de Beausse,Orléans,,Verger,4/E2/1953,Cambie,12/01/1972
Robert Miron,Orléans,Commerce,Jean de Beausse,Orléans,,Verger,4/E2/1953,Cambie,12/01/1972
Marie Boucher et Hubert Antheaume Cie,"St Nicolas, Nantes",Commerce,Robert Miron,Orléans,,Verger,4/E2/1953,Cambie,02/01/1973
Marie Boucher et Hubert Antheaume Cie,"St Nicolas, Nantes",Commerce,Jean de Beausse,Orléans,,Verger,4/E2/1953,Cambie,02/01/1973
Marie Boucher et Hubert Antheaume Cie,"St Nicolas, Nantes",Commerce,François Lemasson,Orléans,,Verger,4/E2/1954,Cambie,25/08/1972
Marie Boucher et Hubert Antheaume Cie,"St Nicolas, Nantes",Commerce,Robert Miron,Orléans,,Verger,4/E2/1954,Cambie,25/08/1972
Marie Boucher et Hubert Antheaume Cie,"St Nicolas, Nantes",Commerce,Jean de Beausse,Orléans,,Verger,4/E2/1954,Cambie,25/08/1972
Marie Boucher et Hubert Antheaume Cie,"St Nicolas, Nantes",Commerce,François Lemasson,Orléans,,Verger,4/E2/1954,Cambie,23/09/1972
Hubert Antheaume,"St Nicolas, Nantes",Commerce ,"Jacques Yvon, sr des Landes","Léogane, Ile St Domingue",,Delalande,4/2E/624,société,03/08/1973
Marie Boucher,"St Nicolas, Nantes",Commerce ,Hubert Antheaume,"St Nicolas, Nantes",,Delalande,4/2E/626,procompte,06/08/1975
Marie Boucher,Paris,Commerce ,Roze Boucher,"St Nicolas, Nantes",,Delalande,4/2E/626,Quittance,15/09/1971
Marie Boucher,Paris,Commerce ,Hubert Antheaume,Paris,,Delalande,4/2E/626,Quittance,15/09/1971
Michel Villette,"St Nicolas, Nantes",Commerce ,Hubert Antheaume,"St Nicolas, Nantes",,Delalande,4/2E/627,Engagement,31/07/1976
Hubert Antheaume,"St Nicolas, Nantes",Commerce ,"Jacques Yvon, sr des Landes","Léogane, Ile St Domingue",,Delalande,4/2E/627,Engagement,31/07/1976
Robert Bussiere,Orléans,Commerce ,Christophe Provost,Orléans,,Delalande,4/2E/627,Déclaration,18/09/1976
Christophe Provost,Orléans,Commerce ,Hubert Antheaume,"St Nicolas, Nantes",,Delalande,4/2E/627,Déclaration,18/09/1976
Robert Bussière,Orléans,Commerce ,Hubert Antheaume,"St Nicolas, Nantes",,Delalande,4/2E/627,Déclaration,18/09/1976
Robert Bussière,Orléans,Commerce ,Paul Bonneau,Orléans,,Delalande,4/2E/627,Déclaration,18/09/1976
Christophe Provost,Orléans,Commerce ,Paul Bonneau,Orléans,,Delalande,4/2E/627,Déclaration,18/09/1976
Hubert Antheaume,"St Nicolas, Nantes",Commerce ,Michel Villette,"St Nicolas, Nantes","Ile St Domingue, Ile St Christophe, Ile de la Martinique, Ile de la Guadeloupe",Delalande,4/2E/627,société,03/12/1976
Hubert Antheaume,"St Nicolas, Nantes",Commerce ,Michel Villette,"St Nicolas, Nantes",,Delalande,4/2E/632,dissolution sté,07/02/1981
Hubert Antheaume,"St Nicolas, Nantes",Commerce ,Jacques Martin,"St Paul, Orléans",,Delalande,4/2E/633,société,24/03/1982
Hubert Antheaume,"St Nicolas, Nantes",Commerce ,Louis Vassal,Paris,,Delalande,4/2E/640,Assiette,25/10/1989
Hubert Antheaume,"St Nicolas, Nantes",Commerce ,? Guillocheau,Nantes,,Delalande,4/2E/640,Assiette,25/10/1989
Madeleine Boucher,"St Nicolas, Nantes",Commerce ,? Guillocheau,Nantes,,Delalande,4/2E/640,Assiette,25/10/1989
Hubert Antheaume,"St Nicolas, Nantes",Commerce ,Jean Gauret,Ile St Domingue,,Delalande,4/2E/640,Testament,31/12/1989
Hubert Antheaume,"St Nicolas, Nantes",Commerce ,? Lesergent,Ile St Domingue,,Delalande,4/2E/640,Testament,31/12/1989
Jean Gauret,Ile St Domingue,Commerce ,? Lesergent,Ile St Domingue,,Delalande,4/2E/640,Testament,31/12/1989
Marie Boucher,"St Nicolas, Nantes",Commerce ,Bernard Gillabert,Bordeaux,,Verger,4/2E/1933,Attestation,11/07/1962
Marie Boucher,"St Nicolas, Nantes",Commerce ,Cornelius Wils,Nantes,,Verger,4/2E/1935,Contrat apprentiissage,14/12/1963
Jean Boucher,Amsterdam,Commerce ,Jean Wills,Amsterdam,,Verger,4/2E/1935,Contrat apprentiissage,14/12/1963
Marie Boucher,"St Nicolas, Nantes",Commerce ,Bernard Gillabert, Bordeaux, ,Verger,4/2E/1936,Attestation,09/04/1964
Marie Boucher,"St Nicolas, Nantes",Commerce ,Jean Boucher,"St Nicolas, Nantes",Lisbonne,Verger,4/2E/1941,Fretement,12/08/1966
Veuve Massuau, ,Commerce ,? Fresneau, ,,Verger,4/2E/1941,Assurance,25/08/1966
Jacques Souchay, ,Commerce ,? Bouchaud, ,,Verger,4/2E/1941,Assurance,25/08/1966
Marie Boucher,"St Nicolas, Nantes",Commerce ,Michel Foucault,Orléans,,Verger,4/2E/1942,Fretement,17/11/1966
Marie Boucher,"St Nicolas, Nantes",Commerce ,Euzèbe Foucault,Orléans,,Verger,4/2E/1942,Fretement,17/11/1966
Michel Foucault,Orléans,Commerce ,Euzèbe Foucault,Orléans,,Verger,4/2E/1942,Fretement,17/11/1966
Jean Boucher,"St Nicolas, Nantes",Commerce ,Marie Boucher,"St Nicolas, Nantes",,Verger,4/2E/1944,Testament,27/11/1967
Jean Boucher,"St Nicolas, Nantes",Commerce ,Charles Pocquelin et Heron Cie,Lisbonne,,Verger,4/2E/1944,Testament,27/11/1967
Charles Pocquelin,Lisbonne,Commerce ,? Heron,Lisbonne,,Verger,4/2E/1944,Testament,27/11/1967
Jean Boucher,"St Nicolas, Nantes",Commerce ,Julien Forget,Nantes,,Verger,4/2E/1944,Testament,27/11/1967
Marie Boucher,"St Nicolas, Nantes",Commerce ,Claude Courdon,"St Nicolas, Nantes",,Verger,4/2E/1950,Fretement,09/09/1970
Jacques Boucher,"St Nicolas, Nantes",Commerce ,Claude Courdon,"St Nicolas, Nantes",,Verger,4/2E/1950,Fretement,09/09/1970
François Pachon,La Rochelle,Commerce ,Josué Valens,Ile de Ré,,Verger,4/2E/1953,Cambie,08/01/1972
? Arnaud Père,La Rochelle,Commerce ,Josué Valens,Ile de Ré,,Verger,4/2E/1953,Cambie,08/01/1972
Pierre Gaigneur,La Rochelle,Commerce ,Josué Valens,Ile de Ré,,Verger,4/2E/1953,Cambie,08/01/1972
